Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
03/07/2024,5537.02,28.01,0.50843981,5507.44,-1.57,-0.028498768,5539.27,30.26,0.549281994,5507.42,-1.59,-0.02886181
02/07/2024,5509.01,33.92,0.619533195,5461.84,-13.25,-0.242005154,5509.69,34.6,0.631953082,5458.43,-16.66,-0.304287235
01/07/2024,5475.09,14.61,0.267558896,5471.08,10.6,0.194122128,5479.55,19.07,0.349236697,5446.53,-13.95,-0.255472046
28/06/2024,5460.48,-22.39,-0.408362774,5488.48,5.61,0.102318676,5523.64,40.77,0.743588668,5451.12,-31.75,-0.579076287
27/06/2024,5482.87,4.97,0.090728199,5473.59,-4.31,-0.078679786,5490.81,12.91,0.235674255,5467.54,-10.36,-0.189123569
26/06/2024,5477.9,8.6,0.157241329,5460.71,-8.59,-0.15705849,5483.14,13.84,0.253048836,5451.87,-17.43,-0.318687949
25/06/2024,5469.3,21.43,0.393364746,5460.73,12.86,0.236055559,5472.88,25.01,0.459078502,5446.56,-1.31,-0.024046095
24/06/2024,5447.87,-16.75,-0.306517196,5459.58,-5.04,-0.092229652,5490.66,26.04,0.476519868,5447.59,-17.03,-0.311641066
21/06/2024,5464.62,-8.55,-0.156216598,5466.77,-6.4,-0.116934062,5478.31,5.14,0.093912669,5452.03,-21.14,-0.386247823
20/06/2024,5473.17,-13.86,-0.252595667,5499.99,12.96,0.236193351,5505.53,18.5,0.337158718,5455.56,-31.47,-0.573534316
18/06/2024,5487.03,13.8,0.252136307,5476.15,2.92,0.053350581,5490.38,17.15,0.313343309,5471.32,-1.91,-0.034897127
17/06/2024,5473.23,41.63,0.766440828,5431.11,-0.49,-0.009021283,5488.5,56.9,1.047573459,5420.4,-11.2,-0.206200751
14/06/2024,5431.6,-2.14,-0.039383555,5424.08,-9.66,-0.177778105,5432.39,-1.35,-0.024844766,5403.75,-29.99,-0.551921881
13/06/2024,5433.74,12.71,0.234457289,5441.93,20.9,0.38553559,5441.93,20.9,0.38553559,5402.51,-18.52,-0.341632494
12/06/2024,5421.03,45.71,0.850367978,5409.13,33.81,0.628985809,5447.25,71.93,1.338152891,5409.13,33.81,0.628985809
11/06/2024,5375.32,14.53,0.271042141,5353,-7.79,-0.145314403,5375.95,15.16,0.28279414,5327.25,-33.54,-0.625654055
10/06/2024,5360.79,13.8,0.258089131,5341.22,-5.77,-0.10791118,5365.79,18.8,0.351599685,5331.52,-15.47,-0.289321656
07/06/2024,5346.99,-5.97,-0.11152708,5343.81,-9.15,-0.170933465,5375.08,22.12,0.413229316,5331.33,-21.63,-0.404075502
06/06/2024,5352.96,-1.07,-0.019984946,5357.8,3.77,0.070414249,5362.35,8.32,0.155396963,5335.36,-18.67,-0.34870929
05/06/2024,5354.03,62.69,1.184766052,5314.48,23.14,0.437318335,5354.16,62.82,1.187222896,5297.64,6.3,0.119062468
04/06/2024,5291.34,7.94,0.150282015,5278.24,-5.16,-0.097664383,5298.8,15.4,0.291478972,5257.63,-25.77,-0.487754098
03/06/2024,5283.4,5.89,0.111605663,5297.15,19.64,0.372145197,5302.11,24.6,0.466128913,5234.32,-43.19,-0.818378364
31/05/2024,5277.51,42.03,0.802791721,5243.21,7.73,0.147646443,5280.33,44.85,0.856654977,5191.68,-43.8,-0.83659951
30/05/2024,5235.48,-31.47,-0.597499502,5259.77,-7.18,-0.13632178,5260.21,-6.74,-0.127967799,5222.1,-44.85,-0.851536468
29/05/2024,5266.95,-39.09,-0.736707601,5278.73,-27.31,-0.514696459,5282.27,-23.77,-0.447980038,5262.7,-43.34,-0.816805
28/05/2024,5306.04,1.32,0.0248835,5315.91,11.19,0.210944216,5315.91,11.19,0.210944216,5280.89,-23.83,-0.449222579
24/05/2024,5304.72,36.88,0.700097194,5281.45,13.61,0.258360163,5311.65,43.81,0.831650164,5278.39,10.55,0.200271838
