Date,PX_LAST,PX_VOLUME
21/04/2023,4133.52,673570186
20/04/2023,4129.79,650302224
19/04/2023,4154.52,544848930
18/04/2023,4154.87,557066911
17/04/2023,4151.32,570000361
14/04/2023,4137.64,565722169
13/04/2023,4146.22,623267808
12/04/2023,4091.95,590330016
11/04/2023,4108.94,538262930
10/04/2023,4109.11,530054161
06/04/2023,4105.02,567048439
05/04/2023,4090.38,648746058
04/04/2023,4100.6,622968828
03/04/2023,4124.51,656168049
31/03/2023,4109.31,805185262
30/03/2023,4050.83,535839728
29/03/2023,4027.81,626764469
28/03/2023,3971.27,510154856
27/03/2023,3977.53,640228546
24/03/2023,3970.99,686467230
23/03/2023,3948.72,761682877
22/03/2023,3936.97,692707463
21/03/2023,4002.87,815532238
20/03/2023,3951.57,809155589
17/03/2023,3916.64,2634688596
16/03/2023,3960.28,932891143
15/03/2023,3891.93,999591005
14/03/2023,3919.29,934880033
13/03/2023,3855.76,1009800515
10/03/2023,3861.59,833745863
09/03/2023,3918.32,679831398
08/03/2023,3992.01,538516732
07/03/2023,3986.37,620973942
06/03/2023,4048.42,612285245
03/03/2023,4045.64,617882324
02/03/2023,3981.35,609937276
01/03/2023,3951.39,605702967
28/02/2023,3970.15,975309948
27/02/2023,3982.24,552686392
24/02/2023,3970.04,603251477
23/02/2023,4012.32,619243315
22/02/2023,3991.05,617838252
21/02/2023,3997.34,681376876
17/02/2023,4079.09,671928890
16/02/2023,4090.41,604500470
15/02/2023,4147.6,560194263
14/02/2023,4136.13,596063075
13/02/2023,4137.29,600886736
10/02/2023,4090.46,614856506
09/02/2023,4081.5,689330769
08/02/2023,4117.86,650637556
07/02/2023,4164,675468843
06/02/2023,4111.08,589499275
03/02/2023,4136.48,735027132
02/02/2023,4179.76,844279515
01/02/2023,4119.21,790521447
31/01/2023,4076.6,949382016
30/01/2023,4017.77,591870717
27/01/2023,4070.56,627301536
26/01/2023,4060.43,609400783
25/01/2023,4016.22,612496177
24/01/2023,4016.95,485960316
23/01/2023,4019.81,615965463
20/01/2023,3972.61,831430861
19/01/2023,3898.85,661096852
18/01/2023,3928.86,673911697
17/01/2023,3990.97,678250927
13/01/2023,3999.09,573948029
12/01/2023,3983.17,632425453
11/01/2023,3969.61,640790420
10/01/2023,3919.25,551554241
09/01/2023,3892.09,668427994
06/01/2023,3895.08,662209787
05/01/2023,3808.1,632401697
04/01/2023,3852.97,721505963
03/01/2023,3824.14,661196995
30/12/2022,3839.5,511646744
29/12/2022,3849.28,466689122
28/12/2022,3783.22,438066309
27/12/2022,3829.25,449987371
23/12/2022,3844.82,407580902
22/12/2022,3822.39,619178091
21/12/2022,3878.44,578914467
20/12/2022,3821.62,605329585
19/12/2022,3817.66,666048676
16/12/2022,3852.36,2480939005
15/12/2022,3895.75,794832028
14/12/2022,3995.32,750666785
13/12/2022,4019.65,899986278
12/12/2022,3990.56,618637066
09/12/2022,3934.38,581894582
08/12/2022,3963.51,582572156
07/12/2022,3933.92,630212851
06/12/2022,3941.26,645745573
05/12/2022,3998.84,589437350
02/12/2022,4071.7,549183011
01/12/2022,4076.57,634096215
30/11/2022,4080.11,1406250061
29/11/2022,3957.63,517449991
28/11/2022,3963.94,602117953
25/11/2022,4026.12,234910107
23/11/2022,4027.26,435535386
22/11/2022,4003.58,541739025
21/11/2022,3949.94,554670309
18/11/2022,3965.34,658595061
17/11/2022,3946.56,560693716
16/11/2022,3958.79,627011652
15/11/2022,3991.73,714032354
14/11/2022,3957.25,673077472
11/11/2022,3992.93,760721714
10/11/2022,3956.37,927953225
09/11/2022,3748.57,667333976
08/11/2022,3828.11,646743771
07/11/2022,3806.8,650238172
04/11/2022,3770.55,761563917
03/11/2022,3719.89,716136387
02/11/2022,3759.69,818922185
01/11/2022,3856.1,656134881
31/10/2022,3871.98,846805519
28/10/2022,3901.06,743160632
27/10/2022,3807.3,831854609
26/10/2022,3830.6,760715393
25/10/2022,3859.11,705721791
24/10/2022,3797.34,677220105
21/10/2022,3752.75,902210712
20/10/2022,3665.78,676528338
19/10/2022,3695.16,622566954
18/10/2022,3719.98,678666508
17/10/2022,3677.95,718643423
14/10/2022,3583.07,736480578
13/10/2022,3669.91,840635099
12/10/2022,3577.03,645865085
11/10/2022,3588.84,726546333
10/10/2022,3612.39,604053203
07/10/2022,3639.66,758416449
06/10/2022,3744.52,648035050
05/10/2022,3783.28,640842252
04/10/2022,3790.93,745745604
03/10/2022,3678.43,766197451
30/09/2022,3585.62,983136358
29/09/2022,3640.47,697035050
28/09/2022,3719.04,732847345
27/09/2022,3647.29,679015206
26/09/2022,3655.04,704873378
23/09/2022,3693.23,730013187
22/09/2022,3757.99,638070812
21/09/2022,3789.93,651302741
20/09/2022,3855.93,606929201
19/09/2022,3899.89,609422581
16/09/2022,3873.33,2094243147
15/09/2022,3901.35,687378056
14/09/2022,3946.01,691169482
13/09/2022,3932.69,773233070
12/09/2022,4110.41,578184458
09/09/2022,4067.36,575854427
08/09/2022,4006.18,623635825
07/09/2022,3979.87,618640703
06/09/2022,3908.19,647281913
02/09/2022,3924.26,580546167
01/09/2022,3966.85,638301086
31/08/2022,3955,861114671
30/08/2022,3986.16,554484400
29/08/2022,4030.61,504890270
26/08/2022,4057.66,632873060
25/08/2022,4199.12,495806120
24/08/2022,4140.77,465969529
23/08/2022,4128.73,454368791
22/08/2022,4137.99,536127321
19/08/2022,4228.48,646495291
18/08/2022,4283.74,461194130
17/08/2022,4274.04,497636886
16/08/2022,4305.2,482206193
15/08/2022,4297.14,458693998
12/08/2022,4280.15,508595647
11/08/2022,4207.27,523109239
10/08/2022,4210.24,603251537
09/08/2022,4122.47,527734636
08/08/2022,4140.06,532468335
05/08/2022,4145.19,542444702
04/08/2022,4151.94,579958906
03/08/2022,4155.17,653186666
02/08/2022,4091.19,585426955
01/08/2022,4118.63,614462306
29/07/2022,4130.29,990186880
28/07/2022,4072.43,640030686
27/07/2022,4023.61,682004735
26/07/2022,3921.05,574718014
25/07/2022,3966.84,520141281
22/07/2022,3961.63,594322444
21/07/2022,3998.95,633920961
20/07/2022,3959.9,621376460
19/07/2022,3936.69,659890407
18/07/2022,3830.85,593561439
15/07/2022,3863.16,722839300
14/07/2022,3790.38,579289857
13/07/2022,3801.78,560882002
12/07/2022,3818.8,583507688
11/07/2022,3854.43,506095661
08/07/2022,3899.38,484507487
07/07/2022,3902.62,596928101
06/07/2022,3845.08,615703520
05/07/2022,3831.39,669970316
01/07/2022,3825.33,605698751
30/06/2022,3785.38,846482439
29/06/2022,3818.83,536713686
28/06/2022,3821.55,613334223
27/06/2022,3900.11,605653122
24/06/2022,3911.74,1203366613
23/06/2022,3795.73,651222924
22/06/2022,3759.89,741292745
21/06/2022,3764.79,795205668
17/06/2022,3674.84,2161936243
16/06/2022,3666.77,893345264
15/06/2022,3789.99,818290184
14/06/2022,3735.48,709747806
13/06/2022,3749.63,844701200
10/06/2022,3900.86,701847225
09/06/2022,4017.82,576523171
08/06/2022,4115.77,494409660
07/06/2022,4160.68,543992416
06/06/2022,4121.43,483437955
03/06/2022,4108.54,506051939
02/06/2022,4176.82,556442461
01/06/2022,4101.23,588790984
31/05/2022,4132.15,1495412071
27/05/2022,4158.24,606795856
26/05/2022,4057.84,659094355
25/05/2022,3978.73,639248153
24/05/2022,3941.48,626587548
23/05/2022,3973.75,631460912
20/05/2022,3901.36,844641873
19/05/2022,3900.79,704614833
18/05/2022,3923.68,732386463
17/05/2022,4088.85,624875961
16/05/2022,4008.01,561129818
13/05/2022,4023.89,655747812
12/05/2022,3930.08,826698830
11/05/2022,3935.18,744675399
10/05/2022,4001.05,790371051
09/05/2022,3991.24,804816677
06/05/2022,4123.34,716333425
05/05/2022,4146.87,803991512
04/05/2022,4300.17,751049645
03/05/2022,4175.48,643786613
02/05/2022,4155.38,729216058
29/04/2022,4131.93,929282250
28/04/2022,4287.5,697196926
27/04/2022,4183.96,681879093
26/04/2022,4175.2,698291135
25/04/2022,4296.12,722679540
22/04/2022,4271.78,691753316
21/04/2022,4393.66,668508930
20/04/2022,4459.45,600434758
19/04/2022,4462.21,582040500
18/04/2022,4391.69,519323212
14/04/2022,4392.59,690094610
13/04/2022,4446.59,537939700
12/04/2022,4397.45,553125394
11/04/2022,4412.53,641643581
08/04/2022,4488.28,566893224
07/04/2022,4500.21,633556772
06/04/2022,4481.15,707574539
05/04/2022,4525.12,616401834
04/04/2022,4582.64,571697450
01/04/2022,4545.86,681128651
31/03/2022,4530.41,828500682
30/03/2022,4602.45,550986450
29/03/2022,4631.6,593642465
28/03/2022,4575.52,522750147
25/03/2022,4543.06,513752326
24/03/2022,4520.16,537385678
23/03/2022,4456.24,594060997
22/03/2022,4511.61,656621816
21/03/2022,4461.18,675390417
18/03/2022,4463.12,2125139258
17/03/2022,4411.67,660090863
16/03/2022,4357.86,800463717
15/03/2022,4262.45,741652578
14/03/2022,4173.11,722842773
11/03/2022,4204.31,629698949
10/03/2022,4259.52,650304968
09/03/2022,4277.88,791121933
08/03/2022,4170.7,920407720
07/03/2022,4201.09,888361731
04/03/2022,4328.87,744135346
03/03/2022,4363.49,696400599
02/03/2022,4386.54,737531407
01/03/2022,4306.26,848578485
28/02/2022,4373.94,1036764861
25/02/2022,4384.65,713492661
24/02/2022,4288.7,991044156
23/02/2022,4225.5,665717418
22/02/2022,4304.76,719202707
18/02/2022,4348.87,791007319
17/02/2022,4380.26,600019301
16/02/2022,4475.01,592449865
15/02/2022,4471.07,597267582
14/02/2022,4401.67,685108730
11/02/2022,4418.64,759825867
10/02/2022,4504.08,665777806
09/02/2022,4587.18,604072880
08/02/2022,4521.54,603438608
07/02/2022,4483.87,605777573
04/02/2022,4500.53,667032993
03/02/2022,4477.44,701665518
02/02/2022,4589.38,769385282
01/02/2022,4546.54,693891153
31/01/2022,4515.55,978232011
28/01/2022,4431.85,741272695
27/01/2022,4326.51,762182337
26/01/2022,4349.93,833935669
25/01/2022,4356.45,822737775
24/01/2022,4410.13,1051278037
21/01/2022,4397.94,943246550
20/01/2022,4482.73,636159973
19/01/2022,4532.76,636487918
18/01/2022,4577.11,753096554
14/01/2022,4662.85,636663732
13/01/2022,4659.03,584414857
12/01/2022,4726.35,541651884
11/01/2022,4713.07,577885612
10/01/2022,4670.29,727218821
07/01/2022,4677.03,633523555
06/01/2022,4696.05,624580056
05/01/2022,4700.58,729435695
04/01/2022,4793.54,696748115
03/01/2022,4796.56,586380432
31/12/2021,4766.18,422910995
30/12/2021,4778.73,331532829
29/12/2021,4793.06,366001664
28/12/2021,4786.35,356766672
27/12/2021,4791.19,394681060
23/12/2021,4725.79,433265169
22/12/2021,4696.56,456478344
21/12/2021,4649.23,620141359
20/12/2021,4568.02,681243755
17/12/2021,4620.64,2106461522
16/12/2021,4668.67,754929127
15/12/2021,4709.85,697669987
14/12/2021,4634.09,720179717
13/12/2021,4668.97,675622203
10/12/2021,4712.02,543943477
09/12/2021,4667.45,511811272
08/12/2021,4701.21,574428675
07/12/2021,4686.75,685661387
06/12/2021,4591.67,688424643
03/12/2021,4538.43,730855410
02/12/2021,4577.1,769875014
01/12/2021,4513.04,759376583
30/11/2021,4567,1494491586
29/11/2021,4655.27,684025293
26/11/2021,4594.62,532795045
24/11/2021,4701.46,518402735
23/11/2021,4690.7,562663117
22/11/2021,4682.94,634155773
19/11/2021,4697.96,679610350
18/11/2021,4704.54,552099195
17/11/2021,4688.67,507249306
16/11/2021,4700.9,495076558
15/11/2021,4682.8,488967486
12/11/2021,4682.85,471249412
11/11/2021,4649.27,424400846
10/11/2021,4646.71,540677649
09/11/2021,4685.25,535583099
08/11/2021,4701.7,540240231
05/11/2021,4697.53,611250916
04/11/2021,4680.06,619826033
03/11/2021,4660.57,565270412
02/11/2021,4630.65,546276599
01/11/2021,4613.67,520161990
29/10/2021,4605.38,703313423
28/10/2021,4596.42,535840853
27/10/2021,4551.68,561003622
26/10/2021,4574.79,509930521
25/10/2021,4566.48,502385574
22/10/2021,4544.9,466677459
21/10/2021,4549.78,480161207
20/10/2021,4536.19,463182018
19/10/2021,4519.63,424917824
18/10/2021,4486.46,510061348
15/10/2021,4471.37,660923201
14/10/2021,4438.26,523662587
13/10/2021,4363.8,520806009
12/10/2021,4350.65,529787814
11/10/2021,4361.19,434331952
08/10/2021,4391.34,442878221
07/10/2021,4399.76,513804708
06/10/2021,4363.55,560551489
05/10/2021,4345.72,544456116
04/10/2021,4300.46,694916561
01/10/2021,4357.04,599123734
30/09/2021,4307.54,708255694
29/09/2021,4359.46,510256048
28/09/2021,4352.63,660042766
27/09/2021,4443.11,533785390
24/09/2021,4455.48,447148826
